ETS_path,O2_conc,0
NII_BD_F,12,0.002910607950697901
NII_BD_F,48,0.004342336765224426
NII_BD_F,108,0.010735865737080871
NII_BD_F,144,0.021937040621458313
NII_BD_F,192,0.05034691129606047
NII_BD_R,12,0.0008718608920659301
NII_BD_R,48,0.0019371953342368728
NII_BD_R,108,0.005545208799613262
NII_BD_R,144,0.01336656173096637
NII_BD_R,192,0.034056435534887276
NII_CO_F,12,0.03484048277519782
NII_CO_F,48,0.02888134878869483
NII_CO_F,108,0.0475400982592785
NII_CO_F,144,0.0752944933573644
NII_CO_F,192,0.1459731629660104
NII_CO_R,12,0.024414167744986386
NII_CO_R,48,0.020358542286745298
NII_CO_R,108,0.0348199415482927
NII_CO_R,144,0.05747421804562185
NII_CO_R,192,0.11532250423815422
NI_BD_F,12,0.016557859805140546
NI_BD_F,48,0.019402174411742964
NI_BD_F,108,0.03727303797188507
NI_BD_F,144,0.06077228650913975
NI_BD_F,192,0.11905772691497736
NI_BD_R,12,0.01428913818464638
NI_BD_R,48,0.01702795364115998
NI_BD_R,108,0.03333407362561988
NI_BD_R,144,0.055218572735467
NI_BD_R,192,0.10953525541899461
NI_CO_F,12,0.04723471249950792
NI_CO_F,48,0.04249347592893388
NI_CO_F,108,0.06948218057429775
NI_CO_F,144,0.10509461164874279
NI_CO_F,192,0.19532975887611959
NI_CO_R,12,0.04331182122197985
NI_CO_R,48,0.039057010143640825
NI_CO_R,108,0.06438577804471202
NI_CO_R,144,0.09818665359210735
NI_CO_R,192,0.1837907255485698
